ano,caso,modo,n_chargers,lambda_veic_h,service_time_h_assumido,rho_mms,sim_espera_media_min,teoria_espera_media_min,delta_absoluto_min,desvio_percentual,status_mms
2026,tipico,deterministico,12,6.666666666666667,1.5,0.8333333333333334,316.03,20.2224700934222,295.80752990657777,175.94370671798637,STABLE
2026,tipico,estocastico_mc80,12,6.625,1.5,0.828125,244.44,19.032365768233586,225.40763423176642,171.10533286822857,STABLE
2026,anti_tipico,deterministico,12,4.75,1.5,0.59375,123.39,1.2918292812689598,122.09817071873104,195.85559727920023,STABLE
2026,anti_tipico,estocastico_mc80,12,4.75,1.5,0.59375,124.13,1.2918292812689598,122.83817071873104,195.88004962558176,STABLE
2030,tipico,deterministico,15,6.666666666666667,1.5,0.6666666666666667,322.46,1.836762606143786,320.6232373938562,197.73446692297136,STABLE
2030,tipico,estocastico_mc80,15,6.625,1.5,0.6625,293.95,1.7382108992988408,292.21178910070114,197.64858951391764,STABLE
2030,anti_tipico,deterministico,15,4.75,1.5,0.475,111.42,0.08288941623055895,111.33711058376944,199.7026465711713,STABLE
2030,anti_tipico,estocastico_mc80,15,4.791666666666667,1.5,0.4791666666666667,146.31,0.09018732157333473,146.21981267842668,199.75358686836861,STABLE
2035,tipico,deterministico,17,6.666666666666667,1.5,0.5882352941176472,128.69,0.39697855689435724,128.29302144310563,198.7698881441573,STABLE
2035,tipico,estocastico_mc80,17,6.625,1.5,0.5845588235294118,130.93,0.3732648880211734,130.55673511197884,198.86289228728774,STABLE
2035,anti_tipico,deterministico,17,4.75,1.5,0.4191176470588236,63.65,0.011156115586754535,63.63884388441324,199.92990315434108,STABLE
2035,anti_tipico,estocastico_mc80,17,4.708333333333333,1.5,0.41544117647058826,62.06,0.01009556442320334,62.0499044355768,199.93494088042624,STABLE
